"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Dasbor Departemen","D. Keuangan","D. Keuangan","/dashboard-finance","Dashboard","Rp0 Pemasukan (Bulan Ini); Rp0 Pengeluaran (Bulan Ini); Rp177.425.000 Nilai Sales (Bulan Ini); Rp61.070.160 Nilai Purchase (Bulan Ini)","Tanggal, No Jurnal, Tipe Jurnal, Debit (Rp), Kredit (Rp), Keterangan","Search","—","—",""
"Dasbor Departemen","D. Legalitas","D. Legalitas","/dashboard-legality","Dashboard","45 Dokumen Aktif; 3 Akan Kadaluarsa (< 30 Hari); 1 Telah Kadaluarsa; 12 Total Perizinan Usaha","Nomor Dokumen, Nama Dokumen, Kategori, Tanggal Berlaku, Status","Search","—","—",""
"Dasbor BusDev","D. Lost","D. Lost","/dashboard-client-lost","Dashboard","144 item; 119 klien","NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE DEAL, TGL SAMPLE, STATUS SAMPLE, STATUS LOST | NO, NAMA PELANGGAN, LIFETIME VALUE, TOTAL TRANSAKSI, TGL TERAKHIR ORDER, JEDA TIDAK ORDER, STATUS","Search, users_id","—","Canceled, NOT STARTED",""
"Dasbor Eksekutif","D. Notifikasi","D. Notifikasi","/dashboard-notification","Dashboard","394 Item Stok Menipis Lihat Detail; 0 Produksi Terlambat (>7 Hari) Lihat Detail; 1817 Sample Tertunda (>14 Hari) Lihat Detail; 20 Follow-Up Terlewat Lihat Detail","—","Search","—","—",""
"Dasbor","D. Pelanggan","D. Pelanggan","/dashboard-customer","Dashboard","829 Total Pelanggan; 10 Pelanggan Baru; 1 Pelanggan Aktif; 0 Follow Up Pending; 0 Follow Up Bulan Ini; Rp 12,656,284,761 Total Penjualan; Rp 249,316,390 Total Sales Sample; 10 Pelanggan Tidak Aktif","#, Pelanggan, Jumlah Sales, Total Revenue | #, Pelanggan, Jumlah Sample, Total Nilai | #, Pelanggan, Telepon, Follow Up Terakhir | Tanggal, Pelanggan, Tipe, Status | Kode, Pelanggan, Nilai, Status","Search","—","Lihat Semua 50 Data",""
"Dasbor","D. Penjualan Barang","D. Penjualan Barang","/dashboard-sales-product","Dashboard","5 Total Bulan Ini; 0 Pending; 0 Disetujui; 252 Dalam Proses; 0 Selesai Bulan Ini; Rp 177,425,000 Nilai Bulan Ini; Rp 12,656,284,761 Total Semua Waktu; Rp 35,485,000 Rata-rata per Penjualan","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""
"Dasbor","D. Penjualan Sample","D. Penjualan Sample","/dashboard-sales-sample","Dashboard","39 Total Bulan Ini; 0 Pending; 1,854 Dalam Proses; 61 Revisi; 0 Selesai Bulan Ini; Rp 12,180,000 Nilai Bulan Ini; Rp 249,316,390 Total Semua Waktu; Rp 312,308 Rata-rata per Sample","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""
"Dasbor Departemen","D. Produksi","D. Produksi","/dashboard-production","Dashboard","0 Jadwal Mixing (Proses); 0 Jadwal Filling (Proses); 0 Jadwal Packaging (Proses); 0 Produksi Selesai (Bulan Ini)","Tanggal, No Realisasi, Kode Jadwal, Status","Search","—","—",""
"Dasbor Departemen","D. Purchasing","D. Purchasing","/dashboard-purchasing","Dashboard","176 Total Supplier Aktif; Rp61.070.160 Nilai PO Bulan Ini; 0 PR Pending; 681 PO Selesai","Supplier, Jml PO, Total Nilai (Rp) | Tanggal, No PO, Supplier, Nilai (Rp), Status","Search","—","—",""
"Dasbor","D. Realisasi Produksi","D. Realisasi Produksi","/dashboard-production-realization","Dashboard","—","Sun Mon Tue Wed Thu Fri Sat, Sun, Mon, Tue, Wed, Thu, Fri, Sat | Sun, Mon, Tue, Wed, Thu, Fri, Sat","Search","—","Previous month, Next month, month, week, day, 30, 31, [GHIMAROW] LUXURIOUS WHITENING BOOSTER, 250 ML (Filling), [IMOZU] Body Lotion Tone Up (Filling), [MILMICHA] Moisturizer Gel ( MILMICHA GLOW ) (Mixing), PRIORITAS EAU DE PARFUM IMOZU PINK CHIFFON (Mixing), 1, 2, 3, [JS The Perfection of My Aura] DEAL - DAY CREAM (I CARE B) (Mixing), [JS The Perfection of My Aura] DEAL - FACE WASH (FORMULA AUREA) (Mixing), 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",""
"Dasbor Departemen","D. RnD","D. RnD","/dashboard-rnd","Dashboard","6,116 Total Barang/Formula; 0 Permintaan Sample (Pending); 261 Sample Diproses (Approved); 474 Sample Selesai; Sampel Masuk 14; Disetujui (Done) 0; Approval Rate 0 %","Nama Formulator, Sampel Masuk, Disetujui","Periode: *","—","—",""
"Dasbor","D. Sample","D. Sample","/dashboard-sample","Dashboard","—","—","—","—","—",""
"Master","Kelola Barang","Kategori Barang","/goods-category-manage","Master List","—","#, Kode, Kategori, Deskripsi, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail(1, 'modal-lg'))","Buat, Lihat, Sunting, Hapus",""
"Master","Kelola Barang","Buat Kategori Barang","/goods-category-manage/create","Form","—","—","Kode * Kode unik kategori, Nama * Nama kategori barang, Deskripsi Keterangan kategori (opsional), Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""
"Master","Kelola Barang","Barang","/goods-manage","Master List","—","#, Kode, Barang, Harga Beli, Kategori, Sub Kategori, Satuan, #","Search, GSTable1_length","[Detail Barang] • Field: Kode, Nama Barang, Kategori, Sub Kategori, Satuan, Harga Beli, Stok Terendah • Tabel Detail: (#, Jenis Akun, Kode CoA, Nama CoA) • Aksi Modal: Hydro Marine Collagen, Bahan Baku, Active, gr, Akun Persediaan, Akun Penjualan, Akun Retur Penjualan, Akun Diskon Penjualan, Persediaan (Perjalanan), Akun COGS, Akun Retur Pembelian, Akun Barang Belum Faktur, Tutup","Buat, Lihat, Sunting, Hapus, Modal Hydro Marine Collagen, Modal Bahan Baku, Modal Active, Modal gr, Modal Akun Persediaan, Modal Akun Penjualan, Modal Akun Retur Penjualan, Modal Akun Diskon Penjualan, Modal Persediaan (Perjalanan), Modal Akun COGS, Modal Akun Retur Pembelian, Modal Akun Barang Belum Faktur, Modal Tutup",""
"Master","Kelola Barang","Buat Barang","/goods-manage/create","Form","—","—","Kategori * Kategori barang, Sub Kategori Sub kategori (opsional), Kode * Kode unik barang, Nama Barang * Nama lengkap barang, Deskripsi Keterangan (opsional), Harga Beli * Harga pembelian, Stok Terendah * Minimum stok alert, Satuan * Unit pengukuran, Foto Barang Gambar produk (opsional), Pilih file, Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""
"Master","Kelola CoA","CoA Jurnal Otomatis","/coa-auto-manage","Master List","—","—","Hutang Dagang akan menjadi CoA hutang dagang saat penerbitan faktur pembelian., Potongan Pembayaran akan menjadi CoA potongan pembayaran saat penerbitan faktur pembelian., Beban Lainnya akan menjadi CoA biaya lainnya saat penerbitan faktur pembelian., PPN Masukan akan menjadi CoA PPN masukan saat penerbitan faktur pembelian, Koreksi Stok akan menjadi CoA lawan persediaan pada stok opname., Persediaan Dalam Perjalanan akan menjadi CoA lawan persediaan saat pengiriman barang., Piutang Dagang akan menjadi CoA piutang dagang saat penerbitan faktur penjualan., Potongan Penjualan akan menjadi CoA potongan penjualan saat penerbitan faktur penjualan dan pembayaran penjualan., PPN Keluaran akan menjadi CoA PPN keluaran saat penerbitan faktur penjualan dan pembayaran penjualan., Uang Muka Pembelian akan menjadi CoA uang muka pembelian., Uang Muka Penjualan akan menjadi CoA uang muka penjualan., Selisih Harga Pembelian akan menjadi CoA selisih harga pembelin saat retur pembelian.","—","Kembali, Simpan",""
"Master","Kelola CoA","CoA","/coa-manage","Master List","—","#, Kode, Nama, Tipe, #","Search","Modal Detail via AJAX (ajaxDetail(1, 'modal-lg'))","Buat, Copy, Excel, Kas/Bank, Lihat, Sunting, Hapus",""
"Master","Kelola CoA","Buat CoA","/coa-manage/create","Form","—","—","Kode * Kode unik akun, Nama * Nama akun, Tipe * Kategori akun, Induk Akun parent (opsional), Header Akun","—","Kembali, Simpan",""
"Master","Kelola Gudang","Hak Akses Gudang","/warehouse-access-manage","Master List","—","#, Nama, Email, Nomor Telepon, Hak Akses, Gudang, #","Search, GSTable1_length","[Hak Akses Gudang] • Input Modal: warehouses_id • Aksi Modal: Tutup","Gudang, Akses Gudang, Modal Tutup",""
"Master","Kelola Gudang","Gudang","/warehouse-manage","Master List","—","#, Gudang, Lokasi, Telepon, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""
"Master","Kelola Gudang","Buat Gudang","/warehouse-manage/create","Form","—","—","Nama * Nama gudang, Telepon Nomor telepon (opsional), Provinsi * Pilih provinsi, Kota * Pilih provinsi terlebih dahulu, Alamat * Alamat lengkap gudang","—","Kembali, Simpan",""
"Master","Kelola Pelanggan","Kategori Pelanggan","/customer-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""
"Master","Kelola Pelanggan","Buat Kategori Pelanggan","/customer-category-manage/create","Form","—","—","Nama Kategori * Nama kategori pelanggan, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""
"Master","Kelola Pelanggan","Pelanggan","/customer-manage","Master List","59 Calon Pelanggan; 634 Pelanggan Sample; 73 Pelanggan Produk; 53 Pelanggan RO","#, Nama, Telepon, Kategori, Kota, Penginput, SO Sample, SO Produk, Nominal SO Produk, #","BusDev / Penginput:, Kategori Pelanggan:","[Detail Pelanggan] • Field: Nama Pelanggan, Kode Pelanggan, Kategori, Telepon, Email, Tanggal Lahir, Provinsi, Kota/Kabupaten, Alamat, Marketing • Aksi Modal: Vivin Anggi Ardita (FYS), Pelanggan Sample, Tutup","Buat, Export Excel, Lihat, Sunting, Hapus, Modal Vivin Anggi Ardita (FYS), Modal Pelanggan Sample, Modal Tutup",""
"Master","Kelola Pelanggan","Buat Pelanggan","/customer-manage/create","Form","—","—","Nama Pelanggan * Nama lengkap, Kode Pelanggan Kode unik (opsional), Kategori * Kategori pelanggan, Telepon * Nomor telepon, Email Email (opsional), Tanggal Lahir Tanggal lahir (opsional), Business Development Marketing (opsional), Provinsi * Pilih provinsi, Kota * Pilih kota, Alamat Alamat lengkap (opsional)","—","Kembali, Simpan",""
"Master","Kelola Pelanggan","Pelanggan Saya","/customer-my-manage","Master List","—","#, Nama, Telepon, Kategori, Kota, Penginput, #","Search, GSTable1_length","—","Buat",""
"Master","Kelola Pelanggan","Buat Pelanggan Saya","/customer-my-manage/create","Form","—","—","Nama Pelanggan *, Kode Pelanggan, Kategori *, Telepon *, Email, Tanggal Lahir, Provinsi *, Kota *, Alamat","—","Kembali, Simpan",""
"Master","Kelola Pengguna","Hak Akses","/role-manage","Master List","—","#, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-md');)","Buat, Lihat, Sunting, Hapus",""
"Master","Kelola Pengguna","Buat Hak Akses","/role-manage/create","Form","—","—","Nama * Nama role","—","Kembali, Simpan",""
"Master","Kelola Pengguna","Pengguna","/user-manage","Master List","—","#, Kode/NIP, Nama, Email, Nomor Telepon, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-lg');)","Pengguna Tidak Aktif, Buat, Lihat, Sunting, Nonaktifkan",""
"Master","Kelola Pengguna","Buat Pengguna","/user-manage/create","Form","—","—","Kode/NIP Kode unik (opsional), Nama * Nama lengkap, Foto Foto profil (opsional), Pilih file, Email Email (opsional), Nomor Telepon Telepon (opsional), Kata Sandi * Password, Konfirmasi Kata Sandi * Ulangi password, Hak Akses * Role pengguna","—","Kembali, Simpan",""
"Master","Kelola Penjualan","Kategori Penjualan","/sales-category","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","[Detail Kategori Penjualan] • Field: Nama Kategori, Deskripsi • Tabel Detail: (#, Urutan, Nama Timeline, Periode, Total) • Aksi Modal: Produk Baru, Tutup","Buat, Lihat, Timeline, Sunting, Hapus, Modal Produk Baru, Modal Tutup",""
"Master","Kelola Penjualan","Buat Kategori Penjualan","/sales-category/create","Form","—","—","Nama *, Deskripsi","—","Kembali, Simpan",""
"Master","Kelola Penjualan","Target Penjualan","/sales-target","Master List","—","#, Marketing, Periode, Target, Achievement, % Capaian, #","Search, GSTable1_length","—","Buat",""
"Master","Kelola Penjualan","Buat Target Penjualan","/sales-target/create","Form","—","—","Marketing *, Tahun *, Bulan *, Target (Rp) *","—","Kembali, Simpan",""
"Master","Kelola Supplier","Kategori Supplier","/supplier-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""
"Master","Kelola Supplier","Buat Kategori Supplier","/supplier-category-manage/create","Form","—","—","Nama Kategori * Nama kategori supplier, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""
"Master","Kelola Supplier","Supplier","/supplier-manage","Master List","—","#, Supplier, PIC, Telepon, Kategori, Kota, Pajak (%), #","Search, GSTable1_length","[Detail Supplier] • Field: Nama Supplier, Kategori, Kontak Person (PIC), Telepon, Deskripsi, Provinsi, Kota/Kabupaten, Alamat, Pajak • Aksi Modal: DKSH, Bahan Baku, Tutup","Buat, Lihat, Sunting, Hapus, Modal DKSH, Modal Bahan Baku, Modal Tutup",""
"Master","Kelola Supplier","Buat Supplier","/supplier-manage/create","Form","—","—","Nama Supplier * Nama lengkap, Kategori * Kategori supplier, Telepon * Nomor telepon, Kontak Person * Nama PIC, Pajak (%) * Persentase pajak, Deskripsi Keterangan (opsional), Provinsi * Pilih provinsi, Kota * Pilih kota, Alamat Alamat lengkap (opsional)","—","Kembali, Simpan",""
"Persetujuan","Pembelian ~","Pembelian ~","/purchase-approval","Approval List","—","#, Kode, Tanggal, Supplier, Gudang, Pembuat, Nominal, Status, #","Search, GSTable1_length","[Detail Pembelian] Field: Kode, Status, Supplier, Gudang, Pembuat, Tanggal, Jatuh Tempo, Subtotal, Pajak, Grand Total, Catatan • Tabel Detail: (#, Barang, Qty, Harga Satuan, Diskon, Total, Qty Diterima, Sisa) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Catatan Tolak), Tutup",""
"Persetujuan","Penjualan Produk ~","Penjualan Produk ~","/sales-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Kategori, Merek, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Order] Field: Kode, Status, Pelanggan, Kategori, Brand, Tanggal, Jatuh Tempo, Dibuat Oleh, Grand Total • Tabel Detail: (Tipe, Item / Formula, Netto, Qty, Harga, Subtotal, Diskon, Pajak) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Persetujuan","Penjualan Sample ~","Penjualan Sample ~","/sales-sample-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Nama Produk, Rev, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Sample] Field: Kode, Status, Pelanggan, Formulator, Tanggal, Pembuat, Harga, Diskon, Subtotal, Pajak, Total • Info Produk: Netto, Form, Color, Flavor, Target, Ref • Deskripsi & Klaim: Material Request, Claim • Nama Produk Inventory • Riwayat Revisi","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Persetujuan","Permintaan Barang ~","Permintaan Barang ~","/goods-request-approval","Approval List","—","#, Kode, Tanggal, Peminta, Penyedia, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Barang] Field: Kode Permintaan, Status, Gudang Asal, Gudang Tujuan, Tanggal Permintaan, Catatan, Pembuat • Tabel Detail: (#, Barang, Qty Diminta, Qty Disetujui, Qty Dikeluarkan, Qty Digunakan, Qty Dikembalikan, Satuan) • Riwayat Persetujuan","Riwayat, Cetak Dokumen, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Persetujuan","Permintaan HPP ~","Permintaan HPP ~","/request-cogs-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Sales Sample, Produk, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan HPP] Field: Kode, Status, Pelanggan, Kode Sample, Produk, Tanggal, Netto Sample, Formula, Kemasan Primer 1 & 2, Kemasan Sekunder • Tabel Detail: (MOQ, HPP Produk, Margin OP, HPP Kemasan Primer, Kemasan Sekunder, Total HPP/pcs) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Persetujuan","Permintaan Pembelian ~","Permintaan Pembelian ~","/purchase-request-approval","Approval List","—","#, Kode, Tanggal, Pemohon, Total Item, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Pembelian] Field: Kode PR, Pemohon, Tanggal, Catatan, Status • Tabel Detail: (#, Barang, Qty Diminta, Satuan, Keterangan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Persetujuan","Retur Pembelian ~","Retur Pembelian ~","/purchase-return-approval","Approval List","—","#, Tanggal, Kode Retur, Pembelian Masuk, Supplier, Total, Pembuat, Status, #","Search, GSTable1_length","[Detail Retur Pembelian] Field: Kode Retur, Status, Supplier, Gudang, Pembuat, Tanggal, Kode GR, Kode PO, Total Item, Total Jumlah, Catatan • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Catatan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Alasan Penolakan), Tutup",""
"Persetujuan","Retur Penjualan ~","Retur Penjualan ~","/sales-return-approval","Approval List","—","#, Tanggal, Kode Retur, No. Faktur, Pelanggan, Total, Pembuat, Status, #","Search, GSTable1_length","[Detail Retur Penjualan] Field: Kode Retur, Tanggal Retur, No. Faktur, Pelanggan, Pembuat, Catatan, Status • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Alasan Retur) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""
"Umum","Checklist","Checklist","/checklist","List","—","#, No. Sales, Customer, Produk, Tanggal Mulai, Tanggal Selesai, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat, Buat, Tracking",""
"Umum","Checklist","Buat Checklist","/checklist/create","Form","—","—","Sales * Pilih sales order, Produk Pilih produk (opsional), Customer Info customer, Kategori Sales Info kategori, Tanggal Mulai * Tanggal mulai, Tanggal Selesai * Tanggal selesai, Deskripsi Keterangan (opsional), Desain Logo PIC & durasi, HKI PIC & durasi, BPOM Merk PIC & durasi, BPOM NA PIC & durasi, MOU PIC & durasi, Desain Kemasan PIC & durasi, Approval Desain PIC & durasi, Bahan Baku PIC & durasi, Pelunasan PIC & durasi, Mixing PIC & durasi, Bahan Kemas PIC & durasi, Filling PIC & durasi, Label PIC & durasi, Box PIC & durasi, Packing PIC & durasi, Delivery PIC & durasi, Halal PIC & durasi, Uji Lab PIC & durasi","—","Batal, Simpan Checklist",""
"Umum","Checklist Progress","Checklist Progress","/checklist-progress","List","—","#, No. Sales, Brand/Produk, Customer, Kategori, Tanggal Mulai, Tanggal Selesai, Status, #","Search, GSTable1_length","[Detail Progress Checklist] • Field: Customer, No. Sales, Kategori, Periode, Status Checklist, Status Task, Terakhir Update • Aksi Modal: Tutup","Riwayat, Modal Tutup",""
"Umum","Checklist Tracking","Checklist Tracking","/checklist-tracking","Tracking Matrix","89 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search, GSTable1_length","[Detail Checklist Tracking] • Field: Customer, No. Sales, Brand, Produk, Status, Periode, Deadline, Dibuat Oleh • Tabel Detail: (#, Kategori, PIC, Lama Hari, Setelah, Status, Catatan, Terakhir Update) • Aksi Modal: Tutup","Halal Uji Lab, Riwayat, SO-202609-000002, Pending, Lihat, Lihat Timeline, Modal Tutup",""
"Umum","Kategori Checklist","Kategori Checklist","/checklist-category","List","—","#, Nama Kategori, Urutan, Lama Hari per Kategori Penjualan, Setelah Kategori, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""
"Umum","Kategori Checklist","Buat Kategori Checklist","/checklist-category/create","Form","—","Kategori Penjualan, Lama Hari","Nama Kategori * Nama kategori checklist, Urutan * Urutan tampilan (angka), Lama Hari (Default) Dipakai jika sales category tidak ada di tabel bawah, Lama Hari per Kategori Penjualan Isi sesuai kategori penjualan, Setelah Kategori Dimulai setelah kategori ini done","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
