"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Dasbor Departemen","D. Keuangan","Finance Overview (Dashboard)","/dashboard-finance","Dashboard","Cash Balance, AR Outstanding, Overdue AR, AP Outstanding, AP Due This Week, Net Cash Forecast 30D","Tabel Top Overdue Invoices, Tabel Pending Approvals Ringkas","Date Range Picker Custom*, Toggle Entity","Chart Cash Position & Forecast 30 hari ke depan, Chart Side-by-Side AR Aging vs AP Aging, Widget MTD vs YTD Revenue/Gross/Net Profit, Budget vs Actual Top 5 Variance, Closing Progress Bar, Exception Alerts Widget","Filter Periode, Refresh Data, Export Snapshot PDF","Read-only agregasi dari seluruh subledger; tanpa input manual"
"Dasbor Departemen","D. Legalitas","D. Legalitas","/dashboard-legality","Dashboard","45 Dokumen Aktif; 3 Akan Kadaluarsa (< 30 Hari); 1 Telah Kadaluarsa; 12 Total Perizinan Usaha","Nomor Dokumen, Nama Dokumen, Kategori, Tanggal Berlaku, Status","Search","—","—",""""
"Dasbor BusDev","D. Lost","D. Lost","/dashboard-client-lost","Dashboard","144 item; 119 klien","NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE DEAL, TGL SAMPLE, STATUS SAMPLE, STATUS LOST | NO, NAMA PELANGGAN, LIFETIME VALUE, TOTAL TRANSAKSI, TGL TERAKHIR ORDER, JEDA TIDAK ORDER, STATUS","Search, users_id","—","Canceled, NOT STARTED",""""
"Dasbor Eksekutif","D. Notifikasi","D. Notifikasi","/dashboard-notification","Dashboard","394 Item Stok Menipis Lihat Detail; 0 Produksi Terlambat (>7 Hari) Lihat Detail; 1817 Sample Tertunda (>14 Hari) Lihat Detail; 20 Follow-Up Terlewat Lihat Detail","—","Search","—","—",""""
"Dasbor","D. Pelanggan","D. Pelanggan","/dashboard-customer","Dashboard","829 Total Pelanggan; 10 Pelanggan Baru; 1 Pelanggan Aktif; 0 Follow Up Pending; 0 Follow Up Bulan Ini; Rp 12,656,284,761 Total Penjualan; Rp 249,316,390 Total Sales Sample; 10 Pelanggan Tidak Aktif","#, Pelanggan, Jumlah Sales, Total Revenue | #, Pelanggan, Jumlah Sample, Total Nilai | #, Pelanggan, Telepon, Follow Up Terakhir | Tanggal, Pelanggan, Tipe, Status | Kode, Pelanggan, Nilai, Status","Search","—","Lihat Semua 50 Data",""""
"Dasbor","D. Penjualan Barang","D. Penjualan Barang","/dashboard-sales-product","Dashboard","5 Total Bulan Ini; 0 Pending; 0 Disetujui; 252 Dalam Proses; 0 Selesai Bulan Ini; Rp 177,425,000 Nilai Bulan Ini; Rp 12,656,284,761 Total Semua Waktu; Rp 35,485,000 Rata-rata per Penjualan","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""""
"Dasbor","D. Penjualan Sample","D. Penjualan Sample","/dashboard-sales-sample","Dashboard","39 Total Bulan Ini; 0 Pending; 1,854 Dalam Proses; 61 Revisi; 0 Selesai Bulan Ini; Rp 12,180,000 Nilai Bulan Ini; Rp 249,316,390 Total Semua Waktu; Rp 312,308 Rata-rata per Sample","#, Pelanggan, Jumlah, Total Nilai | Kode, Pelanggan, Status, Nilai","Search","—","—",""""
"Dasbor Departemen","D. Produksi","D. Produksi","/dashboard-production","Dashboard","0 Jadwal Mixing (Proses); 0 Jadwal Filling (Proses); 0 Jadwal Packaging (Proses); 0 Produksi Selesai (Bulan Ini)","Tanggal, No Realisasi, Kode Jadwal, Status","Search","—","—",""""
"Dasbor Departemen","D. Purchasing","D. Purchasing","/dashboard-purchasing","Dashboard","176 Total Supplier Aktif; Rp61.070.160 Nilai PO Bulan Ini; 0 PR Pending; 681 PO Selesai","Supplier, Jml PO, Total Nilai (Rp) | Tanggal, No PO, Supplier, Nilai (Rp), Status","Search","—","—",""""
"Dasbor","D. Realisasi Produksi","D. Realisasi Produksi","/dashboard-production-realization","Dashboard","—","Sun Mon Tue Wed Thu Fri Sat, Sun, Mon, Tue, Wed, Thu, Fri, Sat | Sun, Mon, Tue, Wed, Thu, Fri, Sat","Search","—","Previous month, Next month, month, week, day, 30, 31, [GHIMAROW] LUXURIOUS WHITENING BOOSTER, 250 ML (Filling), [IMOZU] Body Lotion Tone Up (Filling), [MILMICHA] Moisturizer Gel ( MILMICHA GLOW ) (Mixing), PRIORITAS EAU DE PARFUM IMOZU PINK CHIFFON (Mixing), 1, 2, 3, [JS The Perfection of My Aura] DEAL - DAY CREAM (I CARE B) (Mixing), [JS The Perfection of My Aura] DEAL - FACE WASH (FORMULA AUREA) (Mixing), 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",""""
"Dasbor Departemen","D. RnD","D. RnD","/dashboard-rnd","Dashboard","6,116 Total Barang/Formula; 0 Permintaan Sample (Pending); 261 Sample Diproses (Approved); 474 Sample Selesai; Sampel Masuk 14; Disetujui (Done) 0; Approval Rate 0 %","Nama Formulator, Sampel Masuk, Disetujui","Periode: *","—","—",""""
"Dasbor","D. Sample","D. Sample","/dashboard-sample","Dashboard","—","—","—","—","—",""""
"Master","Kelola Akuntansi Biaya","Cost Allocation Setup","/cost-allocation-setup","Overhead Allocation Rules","—","Overhead Pool (misal Listrik Pabrik, QC Lab, Maintenance Mesin), Allocation Base (Machine Hours / Volume Produksi / Headcount), Formula, Active, #","Nama Pool*, Akun Biaya*, Dasar Alokasi*, Bobot Alokasi*","Simulasi distribusi pembebanan overhead ke batch mixing dan packaging","+ Buat Allocation Rule, Edit, Run Allocation Test, Simpan","Dikonfigurasi oleh Finance Controller untuk pembebanan overhead pabrik ke Job Order Costing"
"Master","Kelola Aset Tetap","Asset Register","/asset-register","Master List & Asset History","Total Nilai Perolehan Aset, Total Akumulasi Penyusutan, Total Nilai Buku Bersih (Book Value)","Asset Code, Name, Category, Acquisition Date, Acquisition Cost, Accum. Depreciation, Book Value, Location, Department, #","Filter Kategori Aset, Filter Departemen, Filter Lokasi","[Detail Aset Tetap] Spesifikasi Fisik, Lokasi, Metode Garis Lurus, Umur Manfaat • Sub-tab Purchase History: (Tanggal, Jenis Acquisition/Upgrade/Major Repair, Ref Faktur Pembelian, Amount, Keterangan)","+ Buat Aset, Export Excel, Lihat Detail & Histori, Transfer Lokasi, Dispose Aset","Sub-tab Purchase History mencatat penambahan nilai/kapitalisasi komponen besar, berbeda dari tabel penyusutan rutin"
"Master","Kelola Aset Tetap","Buat Asset Register","/asset-register/create","Form","—","—","Asset Code (auto), Name*, Category*, Acquisition Date*, Acquisition Cost*, Useful Life (bulan/tahun auto-fill tabel default), Depreciation Method (Straight Line), Location*, Department*, Source (Manual / Generate dari Faktur Pembelian Capex)","—","Kembali, Simpan","Default useful life auto-fill: Inventaris (4 thn), Motor (4 thn), Mobil (8 thn), Bangunan Permanen (20 thn)"
"Master","Kelola Aset Tetap","Compliance / Intangible Asset","/compliance-asset","Compliance & Amortization Tracker","Sertifikasi Aktif, Mendekati Kadaluarsa (<90 Hari), Total Beban Amortisasi Bulan Ini","Cert Name, Type (BPOM / Halal / ISO), Product / Brand, Issue Date, Expiry Date, Cost, Amortization Status, Days to Expiry, #","Filter Type, Filter Expiry Status","[Detail Sertifikasi] Masa Berlaku, Dokumen Sertifikat PDF, Skedul Amortisasi Bulanan (Dr Amortization Expense, Cr Accumulated Amortization)","+ Buat Sertifikasi, Lihat, Run Amortization, Perbarui Sertifikasi","Sistem otomatis mengirimkan notifikasi reminder H-90, H-60, dan H-30 sebelum sertifikat kadaluarsa"
"Master","Kelola Barang","Kategori Barang","/goods-category-manage","Master List","—","#, Kode, Kategori, Deskripsi, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail(1, 'modal-lg'))","Buat, Lihat, Sunting, Hapus",""""
"Master","Kelola Barang","Buat Kategori Barang","/goods-category-manage/create","Form","—","—","Kode * Kode unik kategori, Nama * Nama kategori barang, Deskripsi Keterangan kategori (opsional), Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""""
"Master","Kelola Barang","Barang","/goods-manage","Master List","—","#, Kode, Barang, Harga Beli, Kategori, Sub Kategori, Satuan, #","Search, GSTable1_length","[Detail Barang] • Field: Kode, Nama Barang, Kategori, Sub Kategori, Satuan, Harga Beli, Stok Terendah • Tabel Detail: (#, Jenis Akun, Kode CoA, Nama CoA) • Aksi Modal: Hydro Marine Collagen, Bahan Baku, Active, gr, Akun Persediaan, Akun Penjualan, Akun Retur Penjualan, Akun Diskon Penjualan, Persediaan (Perjalanan), Akun COGS, Akun Retur Pembelian, Akun Barang Belum Faktur, Tutup","Buat, Lihat, Sunting, Hapus, Modal Hydro Marine Collagen, Modal Bahan Baku, Modal Active, Modal gr, Modal Akun Persediaan, Modal Akun Penjualan, Modal Akun Retur Penjualan, Modal Akun Diskon Penjualan, Modal Persediaan (Perjalanan), Modal Akun COGS, Modal Akun Retur Pembelian, Modal Akun Barang Belum Faktur, Modal Tutup",""""
"Master","Kelola Barang","Buat Barang","/goods-manage/create","Form","—","—","Kategori * Kategori barang, Sub Kategori Sub kategori (opsional), Kode * Kode unik barang, Nama Barang * Nama lengkap barang, Deskripsi Keterangan (opsional), Harga Beli * Harga pembelian, Stok Terendah * Minimum stok alert, Satuan * Unit pengukuran, Foto Barang Gambar produk (opsional), Pilih file, Akun Persediaan *, Akun Penjualan *, Akun Retur Penjualan *, Akun Diskon Penjualan *, Persediaan (Perjalanan) *, Akun COGS *, Akun Retur Pembelian *, Akun Barang Belum Faktur *","—","Kembali, Simpan",""""
"Master","Kelola CoA","CoA Jurnal Otomatis","/coa-auto-manage","Master List","—","Rule Name, Document Type, Condition (Contract Type, Item Type), Debit Account, Credit Account, Active, #","Document Type* (Faktur Pembelian, Faktur Penjualan, DP, Pembayaran, Konsumsi BOM, dll), Condition (opsional: Jasa Maklon / Jual Putus), Debit Account* (search-select COA), Credit Account* (search-select COA)","—","Kembali, Simpan, Tambah Rule, Edit Rule, Toggle Active","Otak posting otomatis (0.5). Minimal 1 rule aktif per Document Type sebelum transaksi live. Restriksi hak akses hanya Finance Admin/Controller"
"Master","Kelola CoA","CoA","/coa-manage","Master List","—","Account Code, Account Name, Account Type (Asset/Liability/Equity/Revenue/Expense), Parent Account, Normal Balance (Debit/Credit), Is Active, #","Search, Filter Type, Filter Active","[Detail CoA] Hierarki Akun, Saldo Berjalan, Transaksi Terakhir","+ Buat, Copy, Excel, Lihat, Edit, Hapus / Deactivate","Delete hanya jika belum ada transaksi (referential integrity); jika ada -> deactivate. Auto numbering by type (1xxx Asset, 2xxx Liability, dst)"
"Master","Kelola CoA","Buat CoA","/coa-manage/create","Form","—","—","Account Code* (unique), Account Name*, Account Type*, Parent Account (opsional hierarki), Normal Balance*, Allow Manual Journal* (boolean)","—","Kembali, Simpan","Allow Manual Journal = false mencegah transaksi manual sembarangan di Jurnal Umum (khusus akun AP Control, AR Control, WIP)"
"Master","Kelola Gudang","Hak Akses Gudang","/warehouse-access-manage","Master List","—","#, Nama, Email, Nomor Telepon, Hak Akses, Gudang, #","Search, GSTable1_length","[Hak Akses Gudang] • Input Modal: warehouses_id • Aksi Modal: Tutup","Gudang, Akses Gudang, Modal Tutup",""""
"Master","Kelola Gudang","Gudang","/warehouse-manage","Master List","—","#, Gudang, Lokasi, Telepon, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""
"Master","Kelola Gudang","Buat Gudang","/warehouse-manage/create","Form","—","—","Nama * Nama gudang, Telepon Nomor telepon (opsional), Provinsi * Pilih provinsi, Kota * Pilih provinsi terlebih dahulu, Alamat * Alamat lengkap gudang","—","Kembali, Simpan",""""
"Master","Kelola Kas & Bank","Bank Account Master","/bank-account-manage","Master List","Total Saldo Kas & Bank (Konsolidasi Seluruh Rekening)","Bank Name, Account No, Account Type (Bank / Cash / Petty Cash), Currency, Current Book Balance, GL Account Mapping, Active, #","Search, Filter Type","[Detail Rekening] Profil Bank, Nomor Rekening, Buku Kas Terkait, Riwayat Mutasi Rekonsiliasi Terakhir","+ Buat Rekening, Edit, Deactivate","Saldo real-time di sini menjadi sumber data navbar AP Aging dan Cash Position dashboard"
"Master","Kelola Kas & Bank","Buat Bank Account","/bank-account-manage/create","Form","—","—","Bank Name*, Account No*, Account Type* (Bank/Cash/Petty Cash), Currency*, GL Account Mapping* (search-select COA)","—","Kembali, Simpan","Nomor akun otomatis dan mapping ke akun neraca kas/bank"
"Master","Kelola Pajak","Tax Setup","/tax-setup","Master List","—","Tax Code, Name (PPN Masukan / PPN Keluaran / PPh 23 / PPh 21), Rate (%), GL Account, Status, #","Search","[Detail Pajak] Tarif pajak, akun penampung di neraca, aturan aktivasi","+ Buat Tarif Pajak, Edit, Toggle Active","Setup oleh Finance Admin. Ruang lingkup: PPN, PPh 23, rekap PPh 21 (tanpa e-Faktur/e-Bupot DJP langsung)"
"Master","Kelola Pelanggan","Kategori Pelanggan","/customer-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""
"Master","Kelola Pelanggan","Buat Kategori Pelanggan","/customer-category-manage/create","Form","—","—","Nama Kategori * Nama kategori pelanggan, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""""
"Master","Kelola Pelanggan","Pelanggan","/customer-manage","Master List","Total Sample Fee Diterima, Total Produksi / Job Order Aktif, Total Legalitas / Escrow Client","Customer Code, Brand Name, Contract Type (Jasa Maklon / Jual Putus), Credit Limit, Payment Term, Active, #","BusDev / Penginput:, Kategori Pelanggan:","[Detail Pelanggan] Profil Brand, PIC, Alamat Pengiriman, Contract Type, 3 Cards Khusus (Sample Fee, Produksi JO, Legalitas Escrow), Rekap SO & Invoice AR","Buat, Export Excel, Lihat, Sunting, Hapus, Modal Vivin Anggi Ardita (FYS), Modal Pelanggan Sample, Modal Tutup","Contract Type menentukan perlakuan pajak dan akun revenue pada Faktur Penjualan"
"Master","Kelola Pelanggan","Buat Pelanggan","/customer-manage/create","Form","—","—","Customer Code (auto), Brand / Company Name*, PIC*, Contract Type* (Jasa Maklon / Jual Putus), Credit Limit*, Payment Term*, NPWP, Default Revenue Account","—","Kembali, Simpan",""""
"Master","Kelola Pelanggan","Pelanggan Saya","/customer-my-manage","Master List","—","#, Nama, Telepon, Kategori, Kota, Penginput, #","Search, GSTable1_length","—","Buat",""""
"Master","Kelola Pelanggan","Buat Pelanggan Saya","/customer-my-manage/create","Form","—","—","Nama Pelanggan *, Kode Pelanggan, Kategori *, Telepon *, Email, Tanggal Lahir, Provinsi *, Kota *, Alamat","—","Kembali, Simpan",""""
"Master","Kelola Pengguna","Hak Akses","/role-manage","Master List","—","#, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-md');)","Buat, Lihat, Sunting, Hapus",""""
"Master","Kelola Pengguna","Buat Hak Akses","/role-manage/create","Form","—","—","Nama * Nama role","—","Kembali, Simpan",""""
"Master","Kelola Pengguna","Pengguna","/user-manage","Master List","—","#, Kode/NIP, Nama, Email, Nomor Telepon, Hak Akses, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('1','modal-lg');)","Pengguna Tidak Aktif, Buat, Lihat, Sunting, Nonaktifkan",""""
"Master","Kelola Pengguna","Buat Pengguna","/user-manage/create","Form","—","—","Kode/NIP Kode unik (opsional), Nama * Nama lengkap, Foto Foto profil (opsional), Pilih file, Email Email (opsional), Nomor Telepon Telepon (opsional), Kata Sandi * Password, Konfirmasi Kata Sandi * Ulangi password, Hak Akses * Role pengguna","—","Kembali, Simpan",""""
"Master","Kelola Penjualan","Kategori Penjualan","/sales-category","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","[Detail Kategori Penjualan] • Field: Nama Kategori, Deskripsi • Tabel Detail: (#, Urutan, Nama Timeline, Periode, Total) • Aksi Modal: Produk Baru, Tutup","Buat, Lihat, Timeline, Sunting, Hapus, Modal Produk Baru, Modal Tutup",""""
"Master","Kelola Penjualan","Buat Kategori Penjualan","/sales-category/create","Form","—","—","Nama *, Deskripsi","—","Kembali, Simpan",""""
"Master","Kelola Penjualan","Target Penjualan","/sales-target","Master List","—","#, Marketing, Periode, Target, Achievement, % Capaian, #","Search, GSTable1_length","—","Buat",""""
"Master","Kelola Penjualan","Buat Target Penjualan","/sales-target/create","Form","—","—","Marketing *, Tahun *, Bulan *, Target (Rp) *","—","Kembali, Simpan",""""
"Master","Kelola Supplier","Kategori Supplier","/supplier-category-manage","Master List","—","#, Kategori, Deskripsi, #","Search, GSTable1_length","—","Buat, Sunting, Hapus",""""
"Master","Kelola Supplier","Buat Kategori Supplier","/supplier-category-manage/create","Form","—","—","Nama Kategori * Nama kategori supplier, Deskripsi Keterangan kategori (opsional)","—","Kembali, Simpan",""""
"Master","Kelola Supplier","Supplier","/supplier-manage","Master List","—","Vendor Code, Name, Kategori Riil, Kategori COA, Payment Term, Bank Account, NPWP, PKP Status, Active, #","Search, GSTable1_length","[Detail Supplier] • Field: Nama Supplier, Kategori, Kontak Person (PIC), Telepon, Deskripsi, Provinsi, Kota/Kabupaten, Alamat, Pajak • Aksi Modal: DKSH, Bahan Baku, Tutup","+ Buat, Import Excel (template + validasi baris & preview error), Export Excel, Lihat, Edit, Deactivate","Kategori Riil (Raw Material/Packaging/Jasa/Lainnya) dipisah dari Kategori COA (Akun GL default per vendor)"
"Master","Kelola Supplier","Buat Supplier","/supplier-manage/create","Form","—","—","Vendor Code (auto), Name*, Kategori Riil* (dropdown), Kategori COA* (search-select GL), Address*, PIC*, Phone*, Payment Term* (angka hari: Net 30/60), Bank Account*, NPWP, PKP Status* (boolean)","—","Kembali, Simpan","PKP Status menentukan perhitungan otomatis PPN Masukan pada Faktur Pembelian"
"Persetujuan","Pembelian ~","Pembelian ~","/purchase-approval","Approval List","—","#, Kode, Tanggal, Supplier, Gudang, Pembuat, Nominal, Status, #","Search, GSTable1_length","[Detail Pembelian] Field: Kode, Status, Supplier, Gudang, Pembuat, Tanggal, Jatuh Tempo, Subtotal, Pajak, Grand Total, Catatan • Tabel Detail: (#, Barang, Qty, Harga Satuan, Diskon, Total, Qty Diterima, Sisa) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Catatan Tolak), Tutup",""""
"Persetujuan","Penjualan Produk ~","Penjualan Produk ~","/sales-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Kategori, Merek, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Order] Field: Kode, Status, Pelanggan, Kategori, Brand, Tanggal, Jatuh Tempo, Dibuat Oleh, Grand Total • Tabel Detail: (Tipe, Item / Formula, Netto, Qty, Harga, Subtotal, Diskon, Pajak) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""
"Persetujuan","Penjualan Sample ~","Penjualan Sample ~","/sales-sample-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Nama Produk, Rev, Pembuat, Total, Status, #","Search, GSTable1_length","[Detail Sales Sample] Field: Kode, Status, Pelanggan, Formulator, Tanggal, Pembuat, Harga, Diskon, Subtotal, Pajak, Total • Info Produk: Netto, Form, Color, Flavor, Target, Ref • Deskripsi & Klaim: Material Request, Claim • Nama Produk Inventory • Riwayat Revisi","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""
"Persetujuan","Permintaan Barang ~","Permintaan Barang ~","/goods-request-approval","Approval List","—","#, Kode, Tanggal, Peminta, Penyedia, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Barang] Field: Kode Permintaan, Status, Gudang Asal, Gudang Tujuan, Tanggal Permintaan, Catatan, Pembuat • Tabel Detail: (#, Barang, Qty Diminta, Qty Disetujui, Qty Dikeluarkan, Qty Digunakan, Qty Dikembalikan, Satuan) • Riwayat Persetujuan","Riwayat, Cetak Dokumen, Lihat, Modal Setuju, Modal Tolak, Tutup",""""
"Persetujuan","Permintaan HPP ~","Permintaan HPP ~","/request-cogs-approval","Approval List","—","#, Kode, Tanggal, Pelanggan, Sales Sample, Produk, Pembuat, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan HPP] Field: Kode, Status, Pelanggan, Kode Sample, Produk, Tanggal, Netto Sample, Formula, Kemasan Primer 1 & 2, Kemasan Sekunder • Tabel Detail: (MOQ, HPP Produk, Margin OP, HPP Kemasan Primer, Kemasan Sekunder, Total HPP/pcs) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""
"Persetujuan","Permintaan Pembelian ~","Permintaan Pembelian ~","/purchase-request-approval","Approval List","—","#, Kode, Tanggal, Pemohon, Total Item, Catatan, Status, #","Search, GSTable1_length","[Detail Permintaan Pembelian] Field: Kode PR, Pemohon, Tanggal, Catatan, Status • Tabel Detail: (#, Barang, Qty Diminta, Satuan, Keterangan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak, Tutup",""""
"Persetujuan","Retur Pembelian ~","Retur Pembelian ~","/purchase-return-approval","Approval List","—","#, Tanggal, Kode Retur, Pembelian Masuk, Supplier, Total, Pembuat, Status, #","Search, GSTable1_length","[Detail Retur Pembelian] Field: Kode Retur, Status, Supplier, Gudang, Pembuat, Tanggal, Kode GR, Kode PO, Total Item, Total Jumlah, Catatan • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Catatan) • Riwayat Persetujuan","Riwayat, Lihat, Modal Setuju, Modal Tolak (Input Alasan Penolakan), Tutup",""""
